timestamp,user_id,amount,is_fraud
2025-07-22 12:22:04.621353,user_A,370.46,1
2025-06-22 16:06:56.068080,user_B,215.79,0
2025-07-20 20:06:56.068080,user_A,127.39,0
2025-07-09 04:06:56.071316,user_B,105.29,0
2025-06-27 10:06:56.071316,user_A,198.03,0
2025-07-14 14:06:56.070776,user_A,239.41,0
2025-06-25 05:06:56.071316,user_B,130.94,0
2025-07-14 20:06:56.071316,user_A,296.8,0
2025-06-24 22:06:56.071316,user_B,238.84,0
2025-07-21 17:06:56.068080,user_B,156.84,0
2025-06-23 01:06:56.068080,user_B,302.01,0
2025-07-08 04:06:56.068080,user_B,200.38,0
2025-07-18 12:06:56.071316,user_A,108.6,0
2025-07-03 00:06:56.071316,user_B,19.2,0
2025-06-28 23:06:56.084017,user_B,156.58,0
2025-07-16 13:06:56.085943,user_A,7.35,0
2025-07-15 20:06:56.070776,user_B,292.62,0
2025-06-28 05:06:56.071316,user_A,68.43,0
2025-07-16 00:06:56.071316,user_B,201.99,0
2025-07-02 08:06:56.071316,user_B,54.88,0
2025-06-26 18:06:56.071316,user_B,123.88,0
2025-07-10 13:06:56.068080,user_B,175.68,0
2025-06-27 18:06:56.070776,user_A,102.04,0
2025-07-18 23:06:56.085943,user_B,106.05,0
2025-07-15 05:06:56.068080,user_A,228.77,0
2025-07-09 08:06:56.071316,user_B,27.43,0
2025-07-04 09:06:56.071316,user_B,297.9,0
2025-06-24 23:06:56.071316,user_B,184.67,0
2025-07-06 12:06:56.071316,user_B,192.9,0
2025-06-24 15:06:56.084017,user_A,149.72,0
2025-07-07 22:06:56.071316,user_B,329.18,0
2025-07-18 00:06:56.068080,user_A,200.69,0
2025-07-13 01:06:56.084017,user_B,209.86,0
2025-07-07 06:06:56.071316,user_A,237.27,0
2025-07-17 08:06:56.068080,user_A,196.52,0
2025-07-16 01:06:56.071316,user_A,200.4,0
2025-07-09 08:06:56.071316,user_B,96.27,0
2025-07-10 00:06:56.071316,user_B,259.07,0
2025-07-21 07:06:56.052677,user_A,192.34,0
2025-07-04 04:06:56.071316,user_A,161.51,0
2025-07-03 14:06:56.052677,user_B,340.49,0
2025-07-13 15:06:56.071316,user_A,286.83,0
2025-06-26 13:06:56.071316,user_B,95.51,0
2025-07-17 04:06:56.084017,user_B,261.93,0
2025-06-28 16:06:56.085943,user_B,272.31,0
2025-06-25 02:06:56.084017,user_B,107.31,0
2025-07-04 00:06:56.085943,user_B,141.44,0
2025-07-18 07:06:56.071316,user_A,135.34,0
2025-07-15 04:06:56.071316,user_B,258.95,0
2025-06-27 16:06:56.071316,user_A,245.6,0
2025-07-18 16:06:56.070776,user_B,211.5,0
2025-07-04 12:06:56.068080,user_B,206.65,0
2025-07-18 03:14:43.146471,user_B,36872.11,1
2025-06-24 18:06:56.071316,user_B,265.49,0
